,five_prime_transcript,peak,five_prime_start,peak_start (used to compare),peak_end,nearest_three_prime_end,three_prime_transcript
31,F39H12.1.1,ham-1,834778.0,834217,834318,833796.0,F39H12.2.1
32,ZC13.1b.1,ham-1,877239.0,876928,877410,875948.0,F56F10.1.1
33,F39H12.1.1,ham-1,834778.0,834217,834225,833796.0,F39H12.2.1
34,T04G9.3.1,ham-1,768596.0,768009,768478,767270.0,T04G9.5.1
35,F35H12.6.1,ham-1,913290.0,910347,910638,899507.0,ZC13.10.1
36,ZC13.1a.1,ham-1,877273.0,876928,877410,875948.0,F56F10.1.1
37,F39H12.2.2,ham-1,830258.0,827241,828434,818319.0,F25E2.5b.1
38,ZC13.1b.1,ham-1,877239.0,876662,877385,875948.0,F56F10.1.1
39,F35H12.6.1,ham-1,913290.0,910316,910680,899507.0,ZC13.10.1
40,F56F10.2.1,ham-1,859615.0,859435,859727,845902.0,F39H12.4.1
41,T04G9.3.1,ham-1,768596.0,767959,768530,767270.0,T04G9.5.1
42,ZC13.1b.1,ham-1,877239.0,876646,877417,875948.0,F56F10.1.1
43,F35H12.6.2,ham-1,913290.0,910347,910638,899507.0,ZC13.10.1
44,F39H12.2.2,ham-1,830258.0,827169,828446,818319.0,F25E2.5b.1
45,F35H12.6.2,ham-1,913290.0,910316,910680,899507.0,ZC13.10.1
46,ZC13.1a.1,ham-1,877273.0,876662,877385,875948.0,F56F10.1.1
47,T04G9.3.1,ham-1,768596.0,767948,768542,767270.0,T04G9.5.1
48,F35H12.2a.1,ham-1,924958.0,924419,925005,920306.0,F35H12.4.1
49,ZC13.1a.1,ham-1,877273.0,876646,877417,875948.0,F56F10.1.1
50,F39H12.2.2,ham-1,830258.0,825911,826451,818319.0,F25E2.5b.1
51,F35H12.2c.2,ham-1,925798.0,924419,925005,920306.0,F35H12.4.1
52,F35H12.2c.3,ham-1,926551.0,924419,925005,920306.0,F35H12.4.1
53,F35H12.2c.2,ham-1,926552.0,924419,925005,920306.0,F35H12.4.1
54,F35H12.2c.2,ham-1,926192.0,924419,925005,920306.0,F35H12.4.1
55,F35H12.2c.2,ham-1,925917.0,924419,925005,920306.0,F35H12.4.1
56,F35H12.2c.4,ham-1,926967.0,924419,925005,920306.0,F35H12.4.1
57,F35H12.2d.1,ham-1,924965.0,924419,925005,920306.0,F35H12.4.1
58,F35H12.2c.2,ham-1,926969.0,924419,925005,920306.0,F35H12.4.1
59,F39H12.2.1,ham-1,828903.0,827241,828434,818319.0,F25E2.5b.1
60,F35H12.2c.2,ham-1,928948.0,924419,925005,920306.0,F35H12.4.1
61,F53H8.2.1,ham-1,950782.0,949398,949981,945267.0,F53H8.4.1
62,F35H12.2c.1,ham-1,928948.0,924419,925005,920306.0,F35H12.4.1
63,F35H12.2c.3,ham-1,926969.0,924419,925005,920306.0,F35H12.4.1
64,F35H12.2c.4,ham-1,928948.0,924419,925005,920306.0,F35H12.4.1
65,F39H12.2.1,ham-1,828903.0,827169,828446,818319.0,F25E2.5b.1
66,C44C1.1.1,ham-1,980776.0,980261,980849,975739.0,C44C1.5a.1
67,F53H8.2.1,ham-1,950782.0,949252,950111,945267.0,F53H8.4.1
68,F55A4.10.1,ham-1,1004337.0,992718,993525,984634.0,C09E10.2a.1
69,F55A4.1.1,ham-1,1035548.0,1035112,1035445,1028136.0,F55A4.5.1
70,C44C1.1.1,ham-1,980776.0,980179,981036,975739.0,C44C1.5a.1
71,F55A4.10.1,ham-1,1004337.0,992712,993516,984634.0,C09E10.2a.1
72,F39H12.2.2,ham-1,830317.0,827241,828434,818319.0,F25E2.5b.1
73,F53H8.2.1,ham-1,950782.0,949252,950112,945267.0,F53H8.4.1
74,F35H12.2c.3,ham-1,928948.0,924419,925005,920306.0,F35H12.4.1
75,F39H12.2.2,ham-1,830317.0,827169,828446,818319.0,F25E2.5b.1
76,F39H12.2.1,ham-1,828903.0,825911,826451,818319.0,F25E2.5b.1
77,F49E7.1b.1,ham-1,1097311.0,1096862,1097188,1095562.0,F49E7.2.1
78,F49E7.1b.1,ham-1,1097444.0,1096862,1097188,1095562.0,F49E7.2.1
79,F49E7.1b.1,ham-1,1097899.0,1096862,1097188,1095562.0,F49E7.2.1
80,F49E7.1b.1,ham-1,1098045.0,1096862,1097188,1095562.0,F49E7.2.1
81,F56F10.2.1,ham-1,859934.0,859446,859782,845902.0,F39H12.4.1
82,C44C1.1.1,ham-1,980776.0,980179,981036,975739.0,C44C1.5a.1
83,F49E7.1b.1,ham-1,1097311.0,1096811,1097180,1095562.0,F49E7.2.1
84,F49E7.1b.1,ham-1,1097444.0,1096811,1097180,1095562.0,F49E7.2.1
85,F39H12.2.2,ham-1,830317.0,825911,826451,818319.0,F25E2.5b.1
86,F49E7.1b.1,ham-1,1098643.0,1096862,1097188,1095562.0,F49E7.2.1
87,F49E7.1b.1,ham-1,1097899.0,1096811,1097180,1095562.0,F49E7.2.1
88,F49E7.1b.1,ham-1,1098045.0,1096811,1097180,1095562.0,F49E7.2.1
89,F49E7.1a.1,ham-1,1097152.0,1096862,1097188,1095562.0,F49E7.2.1
90,F49E7.1b.1,ham-1,1098643.0,1096811,1097180,1095562.0,F49E7.2.1
91,F49E7.1b.1,ham-1,1097899.0,1096811,1097157,1095562.0,F49E7.2.1
92,F49E7.1b.1,ham-1,1098045.0,1096811,1097157,1095562.0,F49E7.2.1
93,F56F10.2.1,ham-1,859934.0,859435,859727,845902.0,F39H12.4.1
94,F49E7.1b.1,ham-1,1097444.0,1096811,1097157,1095562.0,F49E7.2.1
95,F49E7.1b.2,ham-1,1099654.0,1096862,1097188,1095562.0,F49E7.2.1
96,F49E7.1b.1,ham-1,1099169.0,1096862,1097188,1095562.0,F49E7.2.1
97,F49E7.1b.1,ham-1,1098643.0,1096811,1097157,1095562.0,F49E7.2.1
98,F49E7.1b.1,ham-1,1097311.0,1096811,1097157,1095562.0,F49E7.2.1
99,F49E7.1b.1,ham-1,1098804.0,1096862,1097188,1095562.0,F49E7.2.1
100,F49E7.1b.2,ham-1,1099654.0,1096811,1097180,1095562.0,F49E7.2.1
101,F49E7.1b.2,ham-1,1099169.0,1096862,1097188,1095562.0,F49E7.2.1
102,F49E7.1b.2,ham-1,1098934.0,1096862,1097188,1095562.0,F49E7.2.1
103,F49E7.1b.1,ham-1,1099169.0,1096811,1097180,1095562.0,F49E7.2.1
104,F49E7.1b.2,ham-1,1099654.0,1096811,1097157,1095562.0,F49E7.2.1
105,F49E7.1b.1,ham-1,1098804.0,1096811,1097180,1095562.0,F49E7.2.1
106,F49E7.1a.1,ham-1,1097152.0,1096811,1097180,1095562.0,F49E7.2.1
107,F49E7.1b.3,ham-1,1099869.0,1096862,1097188,1095562.0,F49E7.2.1
108,F49E7.1b.1,ham-1,1099169.0,1096811,1097157,1095562.0,F49E7.2.1
109,F49E7.1b.1,ham-1,1098804.0,1096811,1097157,1095562.0,F49E7.2.1
110,F49E7.1b.3,ham-1,1099869.0,1096811,1097180,1095562.0,F49E7.2.1
111,F49E7.1b.2,ham-1,1099871.0,1096862,1097188,1095562.0,F49E7.2.1
112,F49E7.1b.1,ham-1,1100618.0,1096862,1097188,1095562.0,F49E7.2.1
113,F49E7.1b.1,ham-1,1099654.0,1096862,1097188,1095562.0,F49E7.2.1
114,F49E7.1b.3,ham-1,1099869.0,1096811,1097157,1095562.0,F49E7.2.1
115,F49E7.1a.1,ham-1,1097152.0,1096811,1097157,1095562.0,F49E7.2.1
116,F49E7.1b.2,ham-1,1100618.0,1096862,1097188,1095562.0,F49E7.2.1
117,F49E7.1b.2,ham-1,1099169.0,1096811,1097180,1095562.0,F49E7.2.1
118,F49E7.1b.1,ham-1,1100618.0,1096811,1097180,1095562.0,F49E7.2.1
119,F49E7.1b.3,ham-1,1100618.0,1096862,1097188,1095562.0,F49E7.2.1
120,F49E7.1b.2,ham-1,1099871.0,1096811,1097180,1095562.0,F49E7.2.1
121,F49E7.1b.1,ham-1,1099654.0,1096811,1097180,1095562.0,F49E7.2.1
122,F49E7.1b.2,ham-1,1098934.0,1096811,1097180,1095562.0,F49E7.2.1
123,F49E7.1b.1,ham-1,1099871.0,1096862,1097188,1095562.0,F49E7.2.1
124,F49E7.1b.3,ham-1,1100618.0,1096811,1097180,1095562.0,F49E7.2.1
125,F49E7.1b.1,ham-1,1100618.0,1096811,1097157,1095562.0,F49E7.2.1
126,F49E7.1b.2,ham-1,1099169.0,1096811,1097157,1095562.0,F49E7.2.1
127,F49E7.1b.2,ham-1,1100618.0,1096811,1097180,1095562.0,F49E7.2.1
128,F49E7.1b.2,ham-1,1098934.0,1096811,1097157,1095562.0,F49E7.2.1
129,F49E7.1b.1,ham-1,1099871.0,1096811,1097180,1095562.0,F49E7.2.1
130,F49E7.1b.1,ham-1,1099654.0,1096811,1097157,1095562.0,F49E7.2.1
131,F49E7.1b.3,ham-1,1100618.0,1096811,1097157,1095562.0,F49E7.2.1
132,F49E7.1b.2,ham-1,1099871.0,1096811,1097157,1095562.0,F49E7.2.1
133,F49E7.1b.2,ham-1,1100618.0,1096811,1097157,1095562.0,F49E7.2.1
134,F49E7.1b.3,ham-1,1100956.0,1096862,1097188,1095562.0,F49E7.2.1
135,F49E7.1b.1,ham-1,1100956.0,1096862,1097188,1095562.0,F49E7.2.1
136,F49E7.1b.2,ham-1,1101472.0,1096862,1097188,1095562.0,F49E7.2.1
137,F49E7.1b.2,ham-1,1101472.0,1096811,1097180,1095562.0,F49E7.2.1
138,F49E7.1b.1,ham-1,1100956.0,1096811,1097180,1095562.0,F49E7.2.1
139,F49E7.1b.3,ham-1,1100956.0,1096811,1097180,1095562.0,F49E7.2.1
140,F49E7.1b.1,ham-1,1099871.0,1096811,1097157,1095562.0,F49E7.2.1
141,F49E7.1b.2,ham-1,1101472.0,1096811,1097157,1095562.0,F49E7.2.1
142,F49E7.1b.3,ham-1,1100956.0,1096811,1097157,1095562.0,F49E7.2.1
143,F49E7.1b.1,ham-1,1101658.0,1096862,1097188,1095562.0,F49E7.2.1
144,F49E7.1b.1,ham-1,1101472.0,1096862,1097188,1095562.0,F49E7.2.1
145,F49E7.1b.3,ham-1,1101658.0,1096862,1097188,1095562.0,F49E7.2.1
146,F49E7.1b.2,ham-1,1100956.0,1096862,1097188,1095562.0,F49E7.2.1
147,F49E7.1b.1,ham-1,1100956.0,1096811,1097157,1095562.0,F49E7.2.1
148,F49E7.1b.1,ham-1,1101658.0,1096811,1097180,1095562.0,F49E7.2.1
149,F49E7.1b.3,ham-1,1101472.0,1096862,1097188,1095562.0,F49E7.2.1
150,F49E7.1b.2,ham-1,1100956.0,1096811,1097180,1095562.0,F49E7.2.1
151,F49E7.1b.1,ham-1,1101658.0,1096811,1097157,1095562.0,F49E7.2.1
152,F49E7.1b.2,ham-1,1101658.0,1096862,1097188,1095562.0,F49E7.2.1
153,F49E7.1b.2,ham-1,1101931.0,1096862,1097188,1095562.0,F49E7.2.1
154,F49E7.1b.3,ham-1,1101658.0,1096811,1097180,1095562.0,F49E7.2.1
155,F49E7.1b.3,ham-1,1101472.0,1096811,1097180,1095562.0,F49E7.2.1
156,F49E7.1b.2,ham-1,1100956.0,1096811,1097157,1095562.0,F49E7.2.1
157,F49E7.1b.1,ham-1,1101931.0,1096862,1097188,1095562.0,F49E7.2.1
158,F49E7.1b.1,ham-1,1101472.0,1096811,1097180,1095562.0,F49E7.2.1
159,F49E7.1b.3,ham-1,1101931.0,1096862,1097188,1095562.0,F49E7.2.1
160,F49E7.1b.2,ham-1,1101931.0,1096811,1097180,1095562.0,F49E7.2.1
161,F49E7.1b.1,ham-1,1101931.0,1096811,1097180,1095562.0,F49E7.2.1
162,F49E7.1b.1,ham-1,1102501.0,1096862,1097188,1095562.0,F49E7.2.1
163,F49E7.1b.2,ham-1,1101658.0,1096811,1097180,1095562.0,F49E7.2.1
164,F49E7.1b.3,ham-1,1101472.0,1096811,1097157,1095562.0,F49E7.2.1
165,F49E7.1b.1,ham-1,1101931.0,1096811,1097157,1095562.0,F49E7.2.1
166,F49E7.1b.1,ham-1,1101472.0,1096811,1097157,1095562.0,F49E7.2.1
167,F49E7.1b.1,ham-1,1102501.0,1096811,1097180,1095562.0,F49E7.2.1
168,F49E7.1b.3,ham-1,1101931.0,1096811,1097180,1095562.0,F49E7.2.1
169,F49E7.1b.2,ham-1,1101658.0,1096811,1097157,1095562.0,F49E7.2.1
170,F49E7.1b.3,ham-1,1101658.0,1096811,1097157,1095562.0,F49E7.2.1
171,F49E7.1b.1,ham-1,1102501.0,1096811,1097157,1095562.0,F49E7.2.1
172,F49E7.1b.2,ham-1,1102501.0,1096862,1097188,1095562.0,F49E7.2.1
173,F49E7.1b.2,ham-1,1101931.0,1096811,1097157,1095562.0,F49E7.2.1
174,C05D9.5.1,ham-1,1104212.0,1103758,1104112,1103320.0,F49E7.1a.1
175,F49E7.1b.3,ham-1,1101931.0,1096811,1097157,1095562.0,F49E7.2.1
176,F49E7.1b.2,ham-1,1102501.0,1096811,1097180,1095562.0,F49E7.2.1
177,F49E7.1b.1,ham-1,1102649.0,1096862,1097188,1095562.0,F49E7.2.1
178,F49E7.1b.3,ham-1,1102649.0,1096862,1097188,1095562.0,F49E7.2.1
179,F49E7.1b.3,ham-1,1102501.0,1096862,1097188,1095562.0,F49E7.2.1
180,F49E7.1b.2,ham-1,1102501.0,1096811,1097157,1095562.0,F49E7.2.1
181,F49E7.1b.1,ham-1,1102649.0,1096811,1097180,1095562.0,F49E7.2.1
182,C05D9.1.1,ham-1,1128986.0,1128573,1128832,1128307.0,C05D9.2.3
183,F49E7.1b.3,ham-1,1102501.0,1096811,1097180,1095562.0,F49E7.2.1
184,F49E7.1b.3,ham-1,1102649.0,1096811,1097180,1095562.0,F49E7.2.1
185,C05D9.5.1,ham-1,1104212.0,1103746,1104156,1103320.0,F49E7.1a.1
186,F49E7.1b.3,ham-1,1102501.0,1096811,1097157,1095562.0,F49E7.2.1
187,F49E7.1b.1,ham-1,1102649.0,1096811,1097157,1095562.0,F49E7.2.1
188,F49E7.1b.3,ham-1,1102649.0,1096811,1097157,1095562.0,F49E7.2.1
189,C05D9.1.1,ham-1,1128986.0,1128512,1128924,1128307.0,C05D9.2.3
190,C52B11.2.2,ham-1,1304557.0,1302210,1302726,1298830.0,C52B11.3.1
191,C52B11.2.1,ham-1,1304563.0,1302210,1302726,1298830.0,C52B11.3.1
192,H42K12.1a.1,ham-1,1321353.0,1319562,1320165,1316638.0,H42K12.3.3
193,C05D9.1.1,ham-1,1128986.0,1128512,1128859,1128307.0,C05D9.2.3
194,F56C3.2.1,ham-1,1372012.0,1370974,1371147,1359719.0,F56C3.4.1
195,H42K12.1b.1,ham-1,1321344.0,1319562,1320165,1316638.0,H42K12.3.3
196,C52B11.2.2,ham-1,1304557.0,1302203,1302662,1298830.0,C52B11.3.1
197,C05D9.5.1,ham-1,1104212.0,1103735,1104174,1103320.0,F49E7.1a.1
198,C52B11.2.1,ham-1,1304563.0,1302203,1302662,1298830.0,C52B11.3.1
199,C52B11.2.2,ham-1,1304557.0,1302192,1302727,1298830.0,C52B11.3.1
200,H42K12.1b.1,ham-1,1321344.0,1319512,1320174,1316638.0,H42K12.3.3
201,D1005.2.1,ham-1,1459022.0,1458821,1459187,1452800.0,D1005.3.1
202,C52B11.2.1,ham-1,1304563.0,1302192,1302727,1298830.0,C52B11.3.1
203,W05H7.1.1,ham-1,1450768.0,1450225,1450979,1444406.0,W05H7.4c.1
204,D1005.1.1,ham-1,1479542.0,1477996,1478275,1470997.0,D1005.5a.1
205,H42K12.1a.1,ham-1,1321353.0,1319512,1320174,1316638.0,H42K12.3.3
206,F09E10.3.1,ham-1,1486532.0,1486172,1486728,1484899.0,D1005.4.1
207,K06A9.2.1,ham-1,1536366.0,1536226,1536487,1534425.0,K06A9.3.1
208,D1005.2.1,ham-1,1459022.0,1458819,1459124,1452800.0,D1005.3.1
209,W05H7.1.1,ham-1,1450768.0,1450225,1450950,1444406.0,W05H7.4c.1
210,ZK380.1.1,ham-1,1655507.0,1626916,1627371,1625384.0,H11E01.2.1
211,K06A9.2.1,ham-1,1536366.0,1536188,1536599,1534425.0,K06A9.3.1
212,D1005.2.1,ham-1,1459022.0,1456357,1457178,1452800.0,D1005.3.1
213,F09E10.3.1,ham-1,1486532.0,1486126,1486702,1484899.0,D1005.4.1
214,D1005.2.1,ham-1,1459022.0,1456212,1457260,1452800.0,D1005.3.1
215,ZK380.1.1,ham-1,1655507.0,1626881,1627496,1625384.0,H11E01.2.1
216,F52D2.7.1,ham-1,1962573.0,1960901,1961640,1922031.0,ZC53.22.2
217,F49H12.5.1,ham-1,2074450.0,2073995,2074502,2066967.0,F49H12.6b.2
218,ZK380.1.1,ham-1,1655507.0,1626881,1627482,1625384.0,H11E01.2.1
219,F49H12.1a.1,ham-1,2089704.0,2089082,2089876,2085057.0,F49H12.3.1
220,K06A9.2.1,ham-1,1536366.0,1536188,1536565,1534425.0,K06A9.3.1
221,F49H12.1b.1,ham-1,2090005.0,2089082,2089876,2085057.0,F49H12.3.1
222,F09E10.3.1,ham-1,1486532.0,1486092,1486742,1484899.0,D1005.4.1
223,Y102A11A.1.1,ham-1,2051824.0,2041693,2041842,2039707.0,Y102A11A.8.1
224,D1005.2.1,ham-1,1459022.0,1456125,1457259,1452800.0,D1005.3.1
225,F49H12.1a.1,ham-1,2089704.0,2089064,2089880,2085057.0,F49H12.3.1
226,F49H12.5.1,ham-1,2074450.0,2073946,2074502,2066967.0,F49H12.6b.2
227,W05H7.1.1,ham-1,1450768.0,1446570,1447294,1444406.0,W05H7.4c.1
228,F49H12.5.1,ham-1,2074450.0,2071151,2071768,2066967.0,F49H12.6b.2
229,F49H12.1b.1,ham-1,2090005.0,2089064,2089880,2085057.0,F49H12.3.1
230,D1005.2.1,ham-1,1459022.0,1453791,1454892,1452800.0,D1005.3.1
231,W05H7.1.1,ham-1,1450768.0,1446350,1447530,1444406.0,W05H7.4c.1
232,T14F9.4a.1,ham-1,2215630.0,2215068,2215618,2204240.0,T24C12.4.1
233,T14F9.2.1,ham-1,2234324.0,2233953,2234301,2229207.0,T14F9.5.1
234,F49H12.5.1,ham-1,2074450.0,2070727,2071931,2066967.0,F49H12.6b.2
235,T14F9.1.1,ham-1,2237911.0,2237423,2237808,2236706.0,T14F9.2.1
236,W05H7.1.1,ham-1,1450768.0,1446337,1447206,1444406.0,W05H7.4c.1
237,T14F9.1.2,ham-1,2237911.0,2237423,2237808,2236706.0,T14F9.2.1
238,F52D2.7.1,ham-1,1962573.0,1960897,1961681,1922031.0,ZC53.22.2
239,T14F9.2.1,ham-1,2234324.0,2233875,2234365,2229207.0,T14F9.5.1
240,D1005.2.1,ham-1,1459022.0,1453761,1454928,1452800.0,D1005.3.1
241,F49H12.5.1,ham-1,2074450.0,2070718,2071931,2066967.0,F49H12.6b.2
242,K02E10.2a.1,ham-1,2489048.0,2488498,2489034,2488299.0,K02E10.4b.1
243,T14F9.1.1,ham-1,2237911.0,2237277,2237883,2236706.0,T14F9.2.1
244,T14F9.1.2,ham-1,2237911.0,2237277,2237883,2236706.0,T14F9.2.1
245,K02E10.1.1,ham-1,2496180.0,2495623,2496464,2494339.0,K02E10.2a.1
246,D1005.2.1,ham-1,1459022.0,1453738,1454946,1452800.0,D1005.3.1
247,T14F9.1.2,ham-1,2237911.0,2237219,2237887,2236706.0,T14F9.2.1
248,K02E10.2a.1,ham-1,2489048.0,2488450,2489046,2488299.0,K02E10.4b.1
249,C43H6.4.1,ham-1,2404024.0,2401880,2402419,2398970.0,C43H6.7a.1
250,T14F9.1.1,ham-1,2237911.0,2237219,2237887,2236706.0,T14F9.2.1
251,T14F9.2.1,ham-1,2234324.0,2233873,2234416,2229207.0,T14F9.5.1
252,F52H2.2b.1,ham-1,2552260.0,2552246,2552903,2543428.0,F52H2.4.2
253,F52H2.2a.1,ham-1,2554231.0,2553247,2554264,2543428.0,F52H2.4.2
254,K02E10.2a.1,ham-1,2489048.0,2488447,2489080,2488299.0,K02E10.4b.1
255,T03G6.2c.1,ham-1,2599408.0,2598597,2599458,2584538.0,H01M10.2.1
256,F52H2.2b.1,ham-1,2552260.0,2549415,2549792,2543428.0,F52H2.4.2
257,F52H2.2a.1,ham-1,2554231.0,2553243,2554273,2543428.0,F52H2.4.2
258,K02E10.1.1,ham-1,2496180.0,2495623,2496202,2494339.0,K02E10.2a.1
259,F52D2.7.1,ham-1,1962573.0,1938013,1938212,1922031.0,ZC53.22.2
260,C09B7.2b.1,ham-1,2668191.0,2667734,2668255,2621744.0,F54G2.1g.1
261,C43H6.4.1,ham-1,2404024.0,2401872,2402460,2398970.0,C43H6.7a.1
262,T03G6.2c.1,ham-1,2599408.0,2598572,2599429,2584538.0,H01M10.2.1
263,F52H2.2a.1,ham-1,2554231.0,2552276,2552898,2543428.0,F52H2.4.2
264,F52H2.2b.1,ham-1,2552260.0,2549282,2549847,2543428.0,F52H2.4.2
265,C09B7.2b.1,ham-1,2668191.0,2667728,2668218,2621744.0,F54G2.1g.1
266,C09B7.2d.1,ham-1,2668127.0,2667734,2668255,2621744.0,F54G2.1g.1
267,C09B7.2a.1,ham-1,2668198.0,2667734,2668255,2621744.0,F54G2.1g.1
268,T03G6.2c.1,ham-1,2599408.0,2596648,2596952,2584538.0,H01M10.2.1
269,C09B7.2b.1,ham-1,2668191.0,2667712,2668279,2621744.0,F54G2.1g.1
270,C09B7.2a.1,ham-1,2668198.0,2667728,2668218,2621744.0,F54G2.1g.1
271,C14A11.3b.1,ham-1,2772042.0,2764415,2764499,2716251.0,T02C5.5a.1
272,F52H2.2b.1,ham-1,2552260.0,2549273,2549833,2543428.0,F52H2.4.2
273,F52H2.2a.1,ham-1,2554231.0,2552246,2552903,2543428.0,F52H2.4.2
274,C14A11.3c.1,ham-1,2793823.0,2764415,2764499,2716251.0,T02C5.5a.1
275,T14G11.1.1,ham-1,2688990.0,2688544,2688911,2683127.0,T14G11.3.1
276,C14A11.3b.1,ham-1,2772042.0,2764414,2764553,2716251.0,T02C5.5a.1
277,C14A11.3c.1,ham-1,2793823.0,2764414,2764553,2716251.0,T02C5.5a.1
278,T03G6.2b.1,ham-1,2594003.0,2590742,2592142,2584538.0,H01M10.2.1
279,T03G6.2c.1,ham-1,2599408.0,2590742,2592142,2584538.0,H01M10.2.1
280,C09B7.2a.1,ham-1,2668198.0,2667712,2668279,2621744.0,F54G2.1g.1
281,F52H2.2a.1,ham-1,2554231.0,2549415,2549792,2543428.0,F52H2.4.2
282,T03G6.2b.1,ham-1,2594003.0,2590722,2592151,2584538.0,H01M10.2.1
283,B0410.2a.1,ham-1,2885858.0,2879441,2880283,2873376.0,F53B3.5.1
284,F52B10.1b.1,ham-1,2909528.0,2907256,2908089,2892553.0,F52B10.3a.1
285,T14G11.1.1,ham-1,2688990.0,2688386,2688952,2683127.0,T14G11.3.1
286,C14A11.2.1,ham-1,2803112.0,2802597,2803197,2799247.0,C14A11.3a.1
287,F52H2.2a.1,ham-1,2554231.0,2549282,2549847,2543428.0,F52H2.4.2
288,C14A11.3a.1,ham-1,2793896.0,2764415,2764499,2716251.0,T02C5.5a.1
289,F52B10.1a.1,ham-1,2909527.0,2907256,2908089,2892553.0,F52B10.3a.1
290,T03G6.2c.1,ham-1,2599408.0,2590722,2592151,2584538.0,H01M10.2.1
291,B0410.2a.1,ham-1,2885858.0,2879441,2880243,2873376.0,F53B3.5.1
292,F52B10.1b.1,ham-1,2909528.0,2907227,2908124,2892553.0,F52B10.3a.1
293,C14A11.3a.1,ham-1,2793896.0,2764414,2764553,2716251.0,T02C5.5a.1
294,T03G6.2b.1,ham-1,2594003.0,2587920,2588551,2584538.0,H01M10.2.1
295,F52H2.2a.1,ham-1,2554231.0,2549273,2549833,2543428.0,F52H2.4.2
296,T14G11.1.1,ham-1,2688990.0,2688361,2688963,2683127.0,T14G11.3.1
297,C09B7.2d.1,ham-1,2668127.0,2667728,2668218,2621744.0,F54G2.1g.1
298,T14G11.1.1,ham-1,2688990.0,2687166,2687521,2683127.0,T14G11.3.1
299,F52B10.1a.1,ham-1,2909527.0,2907227,2908124,2892553.0,F52B10.3a.1
300,T03G6.2b.1,ham-1,2594003.0,2587851,2588594,2584538.0,H01M10.2.1
301,T03G6.2c.1,ham-1,2599408.0,2587920,2588551,2584538.0,H01M10.2.1
302,C09B7.2d.1,ham-1,2668127.0,2667712,2668279,2621744.0,F54G2.1g.1
303,Y71H10A.1a.1,ham-1,2940872.0,2939120,2939886,2937730.0,Y71H10A.2.2
304,T14G11.1.1,ham-1,2688990.0,2687082,2687703,2683127.0,T14G11.3.1
305,Y41G9A.3.1,ham-1,2976448.0,2972368,2972932,2968192.0,Y41G9A.4b.1
306,M02F4.8a.2,ham-1,3025063.0,3025037,3025449,3012416.0,Y48D7A.2.1
307,Y48D7A.1.1,ham-1,3009490.0,2996684,2997411,2991478.0,Y41G9A.1.1
308,Y71H10A.1a.1,ham-1,2940872.0,2939114,2939914,2937730.0,Y71H10A.2.2
