Your Input	Public Name
F11C1.10.1	F11C1.10
T01C8.2.2	T01C8.2
F32A6.2.1	ift-81
F49E2.5j.1	F49E2.5
T07F12.3.1	arrd-23
F09B9.2a.1	unc-115
M02D8.1.1	zig-12
H42K12.1b.1	pdk-1
C16E9.2a.1	C16E9.2
F33C8.1.1	atrn-1
F59F3.1.1	ver-3
C01C4.3a.3	C01C4.3
F16B12.6.1	F16B12.6
C26B9.1b.1	C26B9.1
C11E4.8d.1	C11E4.8
F45E1.4.1	F45E1.4
Y41G9A.3.1	aakg-3
C01C4.3a.2	C01C4.3
B0563.4.1	tmbi-4
F42D1.2.1	tatn-1
F49H12.5.1	txdc-12.2
F35C8.5.1	F35C8.5
K09E9.7.4	K09E9.7
T27B1.2.1	pat-9
F15G9.1b.1	F15G9.1
R07E4.1b.2	R07E4.1
F49H12.1b.1	lsy-2
F49E2.5a.2	F49E2.5
T14F9.1.2	vha-15
K08A8.1a.1	mek-1
ZK899.8j.1	gap-2
C25A11.4a.3	ajm-1
C04A11.1a.1	C04A11.1
F28H6.1b.1	akt-2
F52G3.1.1	F52G3.1
T23E7.5.1	tmem-218
T01B10.5.1	T01B10.5
T05A10.1c.2	sma-9
T20F7.1.1	T20F7.1
F11C1.6a.1	nhr-25
F56B6.2g.1	rgs-7
T18D3.1.1	T18D3.1
T14E8.1a.1	svh-2
T07H6.2.1	mom-1
F35C8.3.2	jkk-1
F39H12.1.1	F39H12.1
T05A10.1c.1	sma-9
F13E6.4.1	yap-1
R03G5.1.3	eef-1A.2
K03A11.1.1	K03A11.1
B0410.2a.1	vang-1
C24A3.2a.1	C24A3.2
F09B9.4.1	F09B9.4
C06G1.2.1	cpg-19
C23F12.1g.4	fln-2
C25F6.2.1	dlg-1
ZC449.3a.2	sek-3
K09E2.4a.2	rig-1
C27C12.4.1	C27C12.4
F57C7.2a.1	nhx-5
F52H2.2b.1	aat-3
F52B10.1a.1	nmy-1
F46G10.7b.2	sir-2.2
R04E5.2.1	cnnm-2
C25A11.2.2	C25A11.2
M60.2.1	endu-2
C54H2.1a.1	sym-3
T14F9.1.1	vha-15
C16E9.2b.2	C16E9.2
C15H9.5.1	C15H9.5
T22B7.1a.1	egl-13
K02E10.2a.1	hid-1
C07A12.1b.1	ham-2
F18E9.5a.3	jmjd-3.1
D1005.1.1	acly-1
C33G3.1a.1	dyc-1
F49E7.1b.2	rme-6
K09C8.4.1	lge-1
F52E4.1a.1	pccb-1
F46F6.2d.1	pkn-1
F38B6.5b.3	col-172
F44A6.1a.1	nucb-1
R01E6.3b.1	cah-4
T01C8.2.1	T01C8.2
F16F9.1.2	F16F9.1
F38B6.3.1	F38B6.3
T04G9.1a.1	attf-5
F35H12.2c.1	tbc-11
R03E9.1.1	mdl-1
F59F4.4.1	acl-1
C07D8.6.1	C07D8.6
F15G9.1a.1	F15G9.1
T27A8.1.1	cpd-2
T22B7.1b.2	egl-13
T14G8.2.1	T14G8.2
C14F5.1b.1	dct-1
F47E1.1.1	F47E1.1
Y34B4A.3.1	hst-6
F54B11.3b.1	unc-84
C17G1.8.1	tsp-21
C07A12.5b.1	spr-3
C04C11.2.1	arrd-25
C14A11.3a.1	cgef-1
M163.2a.1	ztf-14
R03G5.1.2	eef-1A.2
F49E7.1b.1	rme-6
ZK899.1.1	ZK899.1
F48F7.5.1	F48F7.5
K09E2.4b.1	rig-1
K10B3.1a.1	K10B3.1
C23F12.1g.2	fln-2
D1079.1c.1	D1079.1
F35H12.2a.1	tbc-11
C03A3.2.1	C03A3.2
K02E10.1.1	K02E10.1
C04A11.4a.1	adm-2
Y15E3A.1b.1	nhr-91
C16H3.1b.1	ncs-7
F39C12.4.1	ntc-1
ZC373.1a.1	cbs-1
ZK899.8i.2	gap-2
F17E5.2.2	F17E5.2
F35H12.2c.4	tbc-11
T22B7.1a.2	egl-13
F49E2.5j.2	F49E2.5
F35C8.4.1	syx-3
K09E2.4b.3	rig-1
T10B10.4a.1	T10B10.4
C37E2.2a.1	C37E2.2
C14A11.2.1	C14A11.2
C34E7.1a.2	pqn-18
K02B9.4a.3	elt-3
F55A4.1.1	sec-22
F38E9.5.1	twf-2
F11C1.6a.2	nhr-25
ZC506.1.1	ZC506.1
F35H12.6.1	F35H12.6
F22F1.1.1	hil-3
K09E9.7.3	K09E9.7
C31H2.1b.1	tbc-7
E03E2.1.1	cyp-43A1
M03A8.2.2	atg-2
K09E2.3.1	K09E2.3
F49H12.1a.1	lsy-2
T14F9.4a.1	peb-1
C02B4.1b.1	adt-1
R07B1.5.2	R07B1.5
Y15E3A.1a.1	nhr-91
D1009.1c.1	acs-22
C02F12.1a.1	tsp-17
M03F4.2a.1	act-4
D1009.2.2	cyn-8
F49E7.1b.3	rme-6
C34D10.2a.1	unk-1
F59C12.1a.1	cdh-9
C35B8.4.2	crb-3
C17G1.8.2	tsp-21
T07C5.1b.1	ugt-50
ZK455.1.1	aco-1
C11G6.1d.1	taf-3
F35H12.2c.2	tbc-11
H35N09.1.1	H35N09.1
C55B6.2.1	dnj-7
T03G11.4.1	mans-3
C05G5.4.1	sucl-1
F28H6.4.1	F28H6.4
Y15E3A.5.1	Y15E3A.5
K09E9.1a.2	K09E9.1
F18H3.4.1	F18H3.4
C56E10.3a.1	C56E10.3
D1009.1a.1	acs-22
ZC13.1b.1	ZC13.1
C16B8.1.1	lin-18
H36L18.1.1	zmp-5
ZK816.3.1	ZK816.3
F18G5.3.2	gpa-12
H13N06.3.1	gob-1
Y15E3A.1a.4	nhr-91
C23F12.1g.5	fln-2
K09E9.1a.1	K09E9.1
C33A11.1.1	nfki-1
ZK662.4.2	lin-15B
C07A12.3b.1	nhr-35
K02B9.4a.2	elt-3
F11D5.3b.2	ddr-2
C13E3.1a.1	C13E3.1
F27D9.1a.1	unc-18
M02E1.1a.2	M02E1.1
C09B7.2d.1	C09B7.2
C18A11.5b.1	xol-1
ZC8.4h.1	lfi-1
ZK899.8h.1	gap-2
F46H5.2c.1	F46H5.2
F11C1.7b.1	F11C1.7
C34D10.1.1	C34D10.1
Y102A11A.1.1	Y102A11A.1
F38E9.6.1	F38E9.6
ZK899.8i.5	gap-2
T22B7.1a.3	egl-13
F57C7.2b.2	nhx-5
C44H4.7b.1	eor-2
Y49A10A.1.1	efhc-1
R07B1.1.1	vab-15
F20D1.6.1	rbg-1
C52B9.1b.1	cka-2
C34E11.3c.1	tag-241
F17E5.2.1	F17E5.2
M03A8.3.1	M03A8.3
F15G9.1b.3	F15G9.1
F49E2.5n.1	F49E2.5
Y71H10A.1a.1	pfk-1.1
R11G1.7.1	R11G1.7
F11A1.3e.4	daf-12
W05H9.1b.1	W05H9.1
F55F3.1.2	aakb-1
C53B7.4.1	asg-2
C35B8.3a.1	C35B8.3
F46H5.2a.2	F46H5.2
H30A04.1b.1	eat-20
T22B7.1d.1	egl-13
C05G5.2a.1	C05G5.2
C15C7.2.1	gcc-1
ZC13.1a.1	ZC13.1
F02E8.1.2	asb-2
R11G1.2.2	R11G1.2
B0302.1b.1	sid-3
F56B6.2f.1	rgs-7
ZK1193.1.1	col-19
H42K12.1a.1	pdk-1
K10B3.1b.1	K10B3.1
C25A11.4a.1	ajm-1
K03A1.2b.1	lron-7
C44C10.4.1	smcl-1
R03G5.2.1	sek-1
C02H7.1.1	dyf-11
F55F3.4a.1	F55F3.4
T25G12.4.1	rab-6.2
F38B6.5a.1	col-172
M79.4.1	flp-19
D1079.1b.1	D1079.1
F41E7.8.1	cnc-8
C23F12.1g.3	fln-2
T07C5.1e.1	ugt-50
R12H7.1a.2	unc-9
C35B8.3a.2	C35B8.3
T22B7.1d.2	egl-13
F13C5.2.1	F13C5.2
F20B6.2.1	vha-12
T05A10.1b.1	sma-9
F02E8.4.1	F02E8.4
F35H12.2c.3	tbc-11
T21F2.1b.1	lgc-53
F54B11.3a.1	unc-84
F47B7.2b.1	F47B7.2
Y48D7A.1.1	Y48D7A.1
K09E2.4b.2	rig-1
F18E9.5a.2	jmjd-3.1
F48F7.1a.2	alg-1
M02F4.8a.2	aqp-7
F46H6.1.1	rhi-1
C34E11.3a.1	tag-241
R57.2.1	R57.2
H28G03.2b.1	H28G03.2
T14G8.3.1	T14G8.3
C24A3.2b.1	C24A3.2
C34E7.1a.1	pqn-18
T22E5.1a.1	T22E5.1
C24H10.1a.1	clc-7
T25C12.1b.1	lin-14
F55D10.3.1	glit-1
F02E8.2b.1	nmur-3
ZC8.4g.1	lfi-1
K05G3.3.1	cah-3
T22B7.1b.3	egl-13
F11C1.6b.1	nhr-25
K11E4.4a.1	pix-1
C31H2.1c.1	tbc-7
C01C4.3a.1	C01C4.3
R09G11.2c.1	nhr-1
C11G6.4b.2	nhr-28
W06B11.1.1	atat-2
K09E2.4a.1	rig-1
M02E1.1a.1	M02E1.1
C40H5.2c.1	C40H5.2
C04A11.1b.1	C04A11.1
F48D6.1.1	taf-11.1
C42D8.3.1	pnk-4
K09E2.4b.4	rig-1
ZK470.1.1	ZK470.1
C52B9.4.1	C52B9.4
F20B4.6.1	cgt-2
C02C6.1a.1	dyn-1
F28H6.1a.1	akt-2
C34D10.2a.2	unk-1
cTel55X.1b.1	cTel55X.1
C18A11.3.1	C18A11.3
C25A11.4c.1	ajm-1
ZK899.8i.3	gap-2
F43C9.2b.1	F43C9.2
F20B4.6.2	cgt-2
F47B7.1.1	F47B7.1
H30A04.1a.2	eat-20
F35C8.3.1	jkk-1
R01E6.3a.1	cah-4
C02B8.3.1	C02B8.3
R02E12.2b.1	mop-25.1
T05A10.1h.2	sma-9
D1009.2.1	cyn-8
ZK899.8i.4	gap-2
C25A11.4d.1	ajm-1
C54D1.3c.1	ist-1
F35A5.2.1	F35A5.2
F13C5.1.2	F13C5.1
C11E4.8d.2	C11E4.8
F44A6.1b.1	nucb-1
F19C6.2.1	F19C6.2
C16E9.1.1	C16E9.1
F47B7.2c.1	F47B7.2
C14F5.1a.1	dct-1
C07A12.4.1	pdi-2
ZK899.8e.1	gap-2
F49E2.5m.2	F49E2.5
C02B4.1a.1	adt-1
C54H2.1a.2	sym-3
F23A7.3.1	F23A7.3
F17H10.2b.2	F17H10.2
F49E2.5i.2	F49E2.5
C04E7.2.1	sor-3
C08A9.10.1	C08A9.10
C52G5.2.1	C52G5.2
T01B4.1.1	twk-21
F46F6.2c.1	pkn-1
F38B6.5b.2	col-172
C04A11.4b.1	adm-2
R08E3.3a.1	R08E3.3
C52B11.2.2	inso-1
F16H11.1.1	mfsd-12
ZK470.2c.1	ZK470.2
T03G6.2b.1	nhr-40
T21F2.1a.1	lgc-53
F49E2.5l.2	F49E2.5
R09G11.2c.2	nhr-1
T01C8.1a.1	aak-2
C14F11.1.1	got-2.2
C07A12.1a.1	ham-2
F11C1.7c.1	F11C1.7
F09A5.3a.1	F09A5.3
F17H10.2a.1	F17H10.2
Y15E3A.5.2	Y15E3A.5
ZC8.4a.4	lfi-1
C34D10.2a.3	unk-1
R07B1.5.1	R07B1.5
T04F8.3.1	T04F8.3
T14E8.1c.1	svh-2
C28G1.2.1	C28G1.2
C11G6.4b.1	nhr-28
C05G5.2b.1	C05G5.2
C31E10.7.1	cytb-5.1
C26B9.3.1	C26B9.3
F54B11.6.1	bra-1
F46H5.2c.2	F46H5.2
C12D12.2a.1	glt-1
F09E10.3.1	dhs-25
ZK380.1.1	tbx-32
F38B6.5b.1	col-172
C44H4.7c.1	eor-2
F56F10.2.1	F56F10.2
C36E6.1a.1	fubl-3
K09A9.1.1	nipi-3
F53H8.2.1	arr-1
C14A11.3b.1	cgef-1
C44H4.3.1	sym-1
C52B9.1a.1	cka-2
M03A8.3.2	M03A8.3
T08D10.2.1	lsd-1
C23H4.8.1	C23H4.8
C44H4.7a.1	eor-2
R160.1a.1	dpy-23
K09A9.3.1	ent-2
F52E10.1a.1	sdc-1
Y15E3A.1a.2	nhr-91
C04C11.2.2	arrd-25
C35C5.1.1	sdc-2
M02D8.2.1	M02D8.2
F38E9.6.2	F38E9.6
F46G10.7b.1	sir-2.2
K08H2.8.1	nhr-32
T09B9.5.1	T09B9.5
F11A1.3g.1	daf-12
F54B11.9.1	F54B11.9
B0395.2.1	mboa-1
F22F4.3.1	klp-13
C09B7.2a.1	C09B7.2
C31H2.1a.1	tbc-7
C04A11.3a.1	gck-4
C02F12.1c.1	tsp-17
ZC449.3a.1	sek-3
F18E9.5a.1	jmjd-3.1
F46G11.3.2	gakh-1
F49E2.5w.1	F49E2.5
C11G6.4a.1	nhr-28
D1005.2.1	D1005.2
F46G10.2.1	F46G10.2
F18G5.3.1	gpa-12
C16E9.2b.3	C16E9.2
F52B10.1b.1	nmy-1
F40B5.2a.1	F40B5.2
F52H2.2a.1	aat-3
VW06B3R.1b.1	ucr-2.1
C23F12.1g.1	fln-2
C04C11.1a.1	C04C11.1
C16E9.2b.4	C16E9.2
F46C8.3.1	F46C8.3
C54H2.1b.1	sym-3
F39D8.2b.1	psa-3
F58A3.1a.2	ldb-1
F09A5.1.1	spin-3
F11A1.3e.1	daf-12
F22E10.5.1	cept-1
C31E10.6.1	C31E10.6
C26B9.1a.1	C26B9.1
F02C12.3.1	F02C12.3
C40H5.4.1	lact-7
F48F7.1a.3	alg-1
R02E12.5.1	R02E12.5
F02E8.2a.1	nmur-3
K11E4.5a.1	nhr-71
W04G3.5.1	W04G3.5
W05H9.4.1	W05H9.4
T14C1.1.1	frpr-17
ZK899.8f.1	gap-2
F47B10.7.1	acbp-3
F47B7.2a.1	F47B7.2
T24D3.2.2	T24D3.2
F43C9.2a.1	F43C9.2
C17G1.5.1	C17G1.5
K02G10.1.1	dhhc-10
T08A9.1.1	epg-7
F46G10.7a.1	sir-2.2
F46F2.5.1	F46F2.5
ZK662.4.1	lin-15B
F49E2.5b.1	F49E2.5
C05D9.5.1	ife-4
F41D9.1.1	tbc-18
C25A11.4h.1	ajm-1
C16E9.2b.1	C16E9.2
T08A9.3.1	sng-1
ZC8.4a.3	lfi-1
Y73B3A.22.1	fbxa-222
F52D2.7.1	F52D2.7
F13D11.2a.1	hbl-1
T18D3.6.1	T18D3.6
C56E10.1.1	nhr-173
F59F5.7.1	F59F5.7
E01H11.1e.1	pkc-2
C14A11.3c.1	cgef-1
C23F12.1g.7	fln-2
F49E2.5i.1	F49E2.5
Y34B4A.7.1	Y34B4A.7
F46G10.7a.2	sir-2.2
K09E9.7.1	K09E9.7
W06B11.2.1	puf-9
C52B11.2.1	inso-1
F09A5.3b.1	F09A5.3
C34F6.8.1	idh-2
H01A20.1.1	nhr-3
T07C5.1c.1	ugt-50
R03A10.4a.1	nkat-3
F49E7.1a.1	rme-6
Y15E3A.1a.3	nhr-91
M163.3.1	his-24
F15G9.1b.2	F15G9.1
C34E11.3e.1	tag-241
R09G11.2a.2	nhr-1
C24A3.2a.2	C24A3.2
T07C5.1b.2	ugt-50
T14F9.2.1	T14F9.2
K07E3.1.1	K07E3.1
C44C1.1.1	C44C1.1
Y15E3A.1b.2	nhr-91
T14G11.1.1	T14G11.1
F20D1.3.1	F20D1.3
K09E2.4b.5	rig-1
F40B5.2b.2	F40B5.2
ZC373.1b.1	cbs-1
F44A6.3.1	F44A6.3
C34E11.3c.2	tag-241
C33A11.2.1	C33A11.2
F33C8.4.1	F33C8.4
F55A4.10.1	cutl-21
C25A11.4a.4	ajm-1
ZC8.3.1	set-30
F52E10.1b.1	sdc-1
F08G12.3.1	F08G12.3
C27C12.7.1	dpf-2
F56C3.2.1	fbxa-190
K09E2.3.2	K09E2.3
Y34B4A.4a.1	Y34B4A.4
R09G11.2a.3	nhr-1
K06A9.2.1	K06A9.2
C35B8.4.1	crb-3
D1079.1a.1	D1079.1
R07B1.5.3	R07B1.5
K06G5.1.2	K06G5.1
C34E11.3d.1	tag-241
B0302.1a.1	sid-3
C17G1.14.1	C17G1.14
C25A11.4a.2	ajm-1
ZC8.4a.2	lfi-1
T04G9.3.1	ile-2
F49E2.5l.1	F49E2.5
T25C12.1a.1	lin-14
K09E9.7.2	K09E9.7
C07B5.5.1	nuc-1
C02C6.2b.1	olrn-1
C09B7.2b.1	C09B7.2
ZC8.4a.1	lfi-1
F46H5.2a.1	F46H5.2
F39H12.2.2	F39H12.2
K02D3.1.1	K02D3.1
K06G5.1.1	K06G5.1
ZK899.8i.1	gap-2
F57C7.2b.1	nhx-5
C01C4.3b.2	C01C4.3
C17G1.5.2	C17G1.5
T14E8.1b.1	svh-2
W05H9.1a.1	W05H9.1
F02E8.1.1	asb-2
C47D2.1.1	C47D2.1
F49E2.5n.2	F49E2.5
F39H12.2.1	F39H12.2
ZC8.4f.1	lfi-1
F49E2.5m.1	F49E2.5
F13E6.3a.1	phf-31
F17H10.1.1	F17H10.1
C29F7.2a.1	C29F7.2
VW06B3R.1a.1	ucr-2.1
F46F6.2b.1	pkn-1
C31H2.1c.2	tbc-7
F11A1.3e.2	daf-12
F52D10.4.1	F52D10.4
C01C4.3a.4	C01C4.3
T03G6.2c.1	nhr-40
C54H2.1b.2	sym-3
ZC373.6.1	dao-4
T05A10.1m.1	sma-9
B0563.6a.1	B0563.6
F11D5.3b.1	ddr-2
C02C6.2a.1	olrn-1
F53H4.4.1	F53H4.4
C11H1.4a.1	prx-1
F59F4.2.1	serp-1.1
K09E2.4b.6	rig-1
C25F6.1.1	C25F6.1
F17H10.2b.1	F17H10.2
F18E9.5b.1	jmjd-3.1
F08C6.2b.1	pcyt-1
C23F12.1g.6	fln-2
T23C6.1.1	mdt-1.2
R160.1b.1	dpy-23
M03A8.2.1	atg-2
T07F12.3.2	arrd-23
C42D8.1.1	C42D8.1
F58A3.1a.1	ldb-1
K02A4.1.1	bcat-1
C34E11.1.1	rsd-3
Y34B4A.7.2	Y34B4A.7
M153.4.1	M153.4
R173.1.1	cah-5
